cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page
,Access to Science Engineering Agricultural Science & Medicine SEAM,,8,,STEM,https://www.qualifax.ie/course/30315,1,0,,,2025-01-25T15:00:00,2
,Access to University - AUC,,8,,General,https://www.qualifax.ie/course/69370,1,0,,,2025-01-25T15:00:00,2
,AccessMed Ireland,,8,,General,https://www.qualifax.ie/providers/accessmed-ireland,1,0,,,2025-01-25T15:00:00,2
,Accountancy - ACCA,,8,,General,https://www.qualifax.ie/course/94479,1,0,,,2025-01-25T15:00:00,2
,Accountancy - Association of Chartered Certified Accountants - ACCA,,6,,Arts,https://www.qualifax.ie/course/85173,1,0,,,2025-01-25T15:00:00,2
,Accountancy - Chartered Institute of Management Accountants - CIMA,,9,,Business,https://www.qualifax.ie/course/110852,1,0,,,2025-01-25T15:00:00,2
,Accountancy & Finance - Structured,,8,,Business,https://www.qualifax.ie/course/224326,1,0,,,2025-01-25T15:00:00,3
,Accountancy & Payroll Pathway - Traineeship,,8,,General,https://www.qualifax.ie/course/110653,1,0,,,2025-01-25T15:00:00,3
,Accountancy Payroll & Human Resources,,8,,General,https://www.qualifax.ie/course/105758,1,0,,,2025-01-25T15:00:00,3
,Accountancy Technician - ATI,,8,,General,https://www.qualifax.ie/course/1334,1,0,,,2025-01-25T15:00:00,3
,"Accountancy, Business & Taxation",,8,,Business,https://www.qualifax.ie/course/83648,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/115254,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/76760,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/109268,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/110555,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/222312,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/221923,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/1184,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/19059,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/224366,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/224363,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/224360,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/18763,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/67153,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/19244,1,0,,,2025-01-25T15:00:00,3
,Accounting,,8,,Business,https://www.qualifax.ie/course/221870,1,0,,,2025-01-25T15:00:00,3
,Accounting - Advanced,,8,,Business,https://www.qualifax.ie/course/110556,1,0,,,2025-01-25T15:00:00,3
,Accounting - Advanced,,8,,Business,https://www.qualifax.ie/course/222313,1,0,,,2025-01-25T15:00:00,3
,Accounting - Advanced Accounting with Placement,,8,,Business,https://www.qualifax.ie/course/3313,1,0,,,2025-01-25T15:00:00,3
,Accounting - Advanced Entry - Aungier Street,,8,,Business,https://www.qualifax.ie/course/224003,1,0,,,2025-01-25T15:00:00,3
,Accounting - Athlone,,8,,Business,https://www.qualifax.ie/course/25064,1,0,,,2025-01-25T15:00:00,3
,Accounting - Aungier Street,,8,,Business,https://www.qualifax.ie/course/1670,1,0,,,2025-01-25T15:00:00,4
,Accounting - Carlow,,8,,Business,https://www.qualifax.ie/course/42560,1,0,,,2025-01-25T15:00:00,4
,Accounting - Carlow,,8,,Business,https://www.qualifax.ie/course/3222,1,0,,,2025-01-25T15:00:00,4
